lable,sentence
../data/Kerala.txt,It is the main starch ingredient used in Kerala's food.
../data/Kerala.txt,"Having been a major production area of spices for thousands of years, the region makes frequent use of black pepper, cardamom, clove, ginger, and cinnamon."
../data/Kerala.txt,"Most of Kerala's Hindus, except its Brahmin community, eat fish, chicken, beef, pork, eggs, and mutton."
../data/Kerala.txt,"The Brahmin is famed for its vegan cuisine, especially varieties of sambar and rasam."
../data/Kerala.txt,A thick vegetable stew popular in South and Central India called avial is believed to have originated in southern Kerala.
../data/Kerala.txt,Avial is a widely eaten vegetarian dish in the state and plays a major role in sadya.
../data/Kerala.txt,"In most Kerala households, a typical meal consists of rice and vegetables."
../data/Kerala.txt,"Kerala also has a variety of breakfast dishes like idli, dosa, appam, idiyappam, puttu, and pathiri."
../data/Kerala.txt,"The Muslim community of Kerala blend Arabian, North Indian, and indigenous Malabari cuisines, using chicken, eggs, beef, and mutton."
../data/Kerala.txt,"Thalassery biryani is the only biryani variant, which is of Kerala origin having originated in Talassery, in Malabar region."
../data/Kerala.txt,The dish is significantly different from other biryani variants.
../data/Kerala.txt,The Pathanamthitta region is known for raalan and fish curries.
../data/Kerala.txt,Appam along with wine and curries of cured beef and pork are popular among Syrian Christians in Central Kerala.
../data/Kerala.txt,Popular desserts are payasam and halwa.
../data/Kerala.txt,"The Hindu community's payasams, especially those made at temples, like the Ambalappuzha temple, are famous for their rich taste."
../data/Kerala.txt,"Halva is one of the most commonly found or easily recognised sweets in bakeries throughout Kerala, and Kozhikode is famous for its unique and exotic haluva, which is popularly known as Kozhikodan haluva."
../data/Kerala.txt,"Europeans used to call the dish ""sweetmeat"" due to its texture, and a street in Kozhikode where became named Sweet Meat Street during colonial rule."
../data/Kerala.txt,"Kozhikodan haluva is mostly made from maida (highly refined wheat), and comes in various flavours, such as banana, ghee or coconut."
../data/Kerala.txt,"However, karutha haluva (black haluva) made from rice is also very popular."
../data/Kerala.txt,Many Muslim families in the region are famed for their traditional karutha haluva.
../data/arunachal pradesh.txt,"The staple food of Arunachal Pradesh is rice, along with fish, meat, and leaf vegetables."
../data/arunachal pradesh.txt,Many varieties of rice are used.
../data/arunachal pradesh.txt,"Lettuce is the most common vegetable, usually prepared by boiling with ginger, coriander, and green chillies."
../data/arunachal pradesh.txt,Boiled rice cakes wrapped in leaves are a popular snack.
../data/arunachal pradesh.txt,Thukpa is a kind of noodle soup common among the Monpa tribe of the region.
../data/arunachal pradesh.txt,"Native tribes of Arunachal are meat eaters and use fish, eggs, beef, chicken, pork, and mutton to make their dishes."
../data/arunachal pradesh.txt,Apong or rice beer made from fermented rice or millet is a popular beverage in Arunachal Pradesh and is consumed as a refreshing drink.
../data/Haryana.txt,"Cattle being common in Haryana, dairy products are a common component of its cuisine."
../data/Haryana.txt,"Specific dishes include kadhi, pakora, besan masala roti, bajra aloo roti, churma, kheer, bathua raita, methi gajar, singri ki sabzi, and tamatar chutney."
../data/Haryana.txt,"In the olden days, its staple diet included, bajra khichdi, rabdi, onion chutney, milet roti and bajra roti."
../data/Haryana.txt,In the non-veg cuisine it includes kukad kadhai and masala gravy chicken.
../data/Haryana.txt,"Lassi, sharbat, nimbu pani and ""labsi(which is a mixture of bajra flour and lassi) are three popular nonalcoholic beverages in Haryana."
../data/Haryana.txt,"Liquor stores are common there, which cater to a large number of truck drivers."
../data/chhattisgarh.txt,"Chhattisgarh cuisine is unique in nature and not found in the rest of India, although the staple food is rice, like in much of the country."
../data/chhattisgarh.txt,Many Chhattisgarhi people drink liquor brewed from the mahuwa flower palm wine (tadi in rural areas).
../data/chhattisgarh.txt,"The tribal people of the Bastar region of Chhattisgarh eat ancestral dishes such as mushrooms, bamboo pickle, bamboo vegetables, etc."
../data/Maharashtra.txt,Maharashtrian cuisine is an extensive balance of many different tastes.
../data/Maharashtra.txt,It includes a range of dishes from mild to very spicy tastes.
../data/Maharashtra.txt,"Bajri, wheat, rice, jowar, vegetables, lentils, and fruit form important components of the Maharashtrian diet."
../data/Maharashtra.txt,"Popular dishes include puran poli, ukdiche modak, batata wada, sabudana khichdi, masala bhat, pav bhaji, and wada pav."
../data/Maharashtra.txt,Poha or flattened rice is also usually eaten at breakfast.
../data/Maharashtra.txt,Kanda poha and aloo poha are some of the dishes cooked for breakfast and snacking in evenings.
../data/Maharashtra.txt,Popular spicy meat dishes include those that originated in the Kolhapur region.
../data/Maharashtra.txt,"These are the Kolhapuri Sukka mutton, pandhra rassa, and tabmda rassa."
../data/Maharashtra.txt,"Shrikhand, a sweet dish made from strained yogurt, is a main dessert of Maharashtrian cuisine."
../data/Maharashtra.txt,The cuisine of Maharashtra can be divided into two major sections—the coastal and the interior.
../data/Maharashtra.txt,"The Konkan, on the coast of the Arabian Sea, has its own type of cuisine, a homogeneous combination of Malvani, Goud Saraswat Brahmin, and Goan cuisine."
../data/Maharashtra.txt,"In the interior of Maharashtra, the Paschim Maharashtra, Khandesh, Vidarbha and Marathwada areas have their own distinct cuisines."
../data/Maharashtra.txt,"The cuisine of Vidarbha uses groundnuts, poppy seeds, jaggery, wheat, jowar, and bajra extensively."
../data/Maharashtra.txt,"A typical meal consists of rice, roti, poli, or bhakar, along with varan and aamtee—lentils and spiced vegetables."
../data/Maharashtra.txt,Cooking is common with different types of oil.
../data/Maharashtra.txt,Savji food from Vidarbha is well known all over Maharashtra.
../data/Maharashtra.txt,Savji dishes are very spicy and oily.
../data/Maharashtra.txt,Savji mutton curries are very famous.
../data/Maharashtra.txt,Tilgul sweet made of sesame seeds and jaggery is specially prepared in Maharashtra during the festival of Makar Sankranti.
../data/Maharashtra.txt,"Poha, a popular Maharashtrian breakfast dish."
../data/Maharashtra.txt,"Like other coastal states, an enormous variety of vegetables, fish, and coconuts exists, where they are common ingredients."
../data/Maharashtra.txt,Peanuts and cashews are often served with vegetables.
../data/Maharashtra.txt,"Grated coconuts are used to flavour many types of dishes, but coconut oil is not widely used; peanut oil is preferred."
../data/Maharashtra.txt,"Kokum, most commonly served chilled, in an appetiser-digestive called sol kadhi, is prevalent."
../data/Maharashtra.txt,"During summer, Maharashtrians consume panha, a drink made from raw mango."
../data/Uttarakhand.txt,"The food from Uttrakhand is known to be healthy and wholesome to suit the high-energy necessities of the cold, mountainous region."
../data/Uttarakhand.txt,It is a high protein diet that makes heavy use of pulses and vegetables.
../data/Uttarakhand.txt,Traditionally it is cooked over wood or charcoal fire mostly in iron utensils.
../data/Uttarakhand.txt,"While also making use of condiments such as jeera, haldi and rai common in other Indian cuisines, Uttarakhand cuisine uses some exotic condiments like jambu, timmer, ghandhraini and bhangira."
../data/Uttarakhand.txt,"Similarly, although the people in Uttarakhand also prepare the dishes common in other parts of northern India, several preparations are unique to Uttarakhand tradition such as rus, chudkani, dubuk, chadanji, jholi, kapa, etc."
../data/Uttarakhand.txt,"Among dressed salads and sauces, kheere ka raita, nimbu mooli ka raita, daarim ki khatai and aam ka fajitha necessarily deserve a mention."
../data/Uttarakhand.txt,The cuisine mainly consists of food from two different sub regions—Garhwal and Kumaon—though their basic ingredients are the same.
../data/Uttarakhand.txt,"Both the Kumaoni and Garhwali styles make liberal use of ghee, lentils or pulses, vegetables and bhaat (rice)."
../data/Uttarakhand.txt,They also use Badi (sun-dried Urad Dal balls) and Mungodi (sun-dried Moong Dal balls) as substitutes for vegetables at times.
../data/Uttarakhand.txt,"During festivals and other celebrations, the people of Uttarakhand prepare special refreshments which include both salty preparations such as bada and sweet preparations such as pua and singal."
../data/Uttarakhand.txt,"Uttarakhand also has several sweets (mithai) such as singodi, bal-mithai, malai laddu, etc."
../data/Uttarakhand.txt,native to its tradition.
../data/Tamil Nadu.txt,"Tamil Nadu is noted for its deep belief that serving food to others is a service to humanity, as is common in many regions of India."
../data/Tamil Nadu.txt,The region has a rich cuisine involving both traditional non-vegetarian and vegetarian dishes.
../data/Tamil Nadu.txt,"Tamil food is characterised by its use of rice, legumes, and lentils, along with distinct aromas and flavours achieved by the blending of spices such as mustard, curry leaves, tamarind, coriander, ginger, garlic, chili pepper, cinnamon, clove, cardamom, cumin, nutmeg, coconut and rose water."
../data/Tamil Nadu.txt,"The traditional way of eating a meal involves being seated on the floor, having the food served on a plantain leaf, and using the right hand to eat."
../data/Tamil Nadu.txt,After the meal the plantain leaf is discarded but becomes food for free-ranging cattle and goats.
../data/Tamil Nadu.txt,A meal (called Saapadu) consists of rice with other typical Tamil dishes on a plantain leaf.
../data/Tamil Nadu.txt,A typical Tamilian would eat on a plantain leaf as it is believed to give a different flavour and taste to food.
../data/Tamil Nadu.txt,Also growing in popularity are stainless steel trays – plates with a selection of different dishes in small bowls.
../data/Tamil Nadu.txt,"Tamil food is characterized by tiffin, which is a light food taken for breakfast or dinner, and meals which are usually taken during lunch."
../data/Tamil Nadu.txt,"The word ""curry"" is derived from the Tamil kari, meaning something similar to ""sauce""."
../data/Tamil Nadu.txt,"The southern regions such as Tirunelveli, Madurai, Paramakudi, Karaikudi, and Chettinad,Kongu Nadu are noted for their spicy non-vegetarian dishes."
../data/Tamil Nadu.txt,"Dosa, idli, pongal and Biryani are some of the popular dishes that are eaten with chutney and sambar."
../data/Tamil Nadu.txt,"Fish and other seafoods are also very popular, because the state is located on the coast."
../data/Tamil Nadu.txt,Chicken and goat meat are the predominantly consumed meats in Tamil Nadu.
../data/Tamil Nadu.txt,"Many Tamilians are vegetarian, however, and the typical meal is heavily dependent on rice, vegetables and lentil preparations such as rasam and sambar."
../data/Tamil Nadu.txt,There are further variations of Tamil vegetarian dishes.
../data/Tamil Nadu.txt,"They have influenced Kerala as well in their Kootu, Arachi vitta sambhar and molagootals."
../data/Tamil Nadu.txt,"As mentioned above, the Chettinad variety of food uses lots of strong spices, such as pepper, garlic, fennel seeds and onions."
../data/Tamil Nadu.txt,Tamil food tends to be spicy compared to other parts of India so there is a tradition of finishing the meal with dahi (yogurt) is considered a soothing end to the meal.
../data/Tamil Nadu.txt,"Notably, Tamil Brahmin cuisine, the food of the Iyers and Iyengar community, is characterized by slightly different meal times and meal structures compared to other communities within the state."
../data/Tamil Nadu.txt,"Historically vegetarian, the cuisine is known for its milder flavor and avoidance of onion and garlic (although this practice appears to be disappearing with time)."
../data/Tamil Nadu.txt,"After a light morning meal of filter coffee and different varieties of porridges (oatmeal and janata kanji are immensely popular), the main meal of the day, lunch/brunch is usually at 11 am and typically follows a two-three course meal structure."
../data/Tamil Nadu.txt,"Steamed rice is the main dish, and is always accompanied by a seasonally steamed/sauteed vegetable (poriyal), and two or three types of tamarind stews, the most popular being sambhar and rasam."
../data/Tamil Nadu.txt,"The meal typically ends with thair sadham (rice with yogurt), usually served with pickled mangoes or lemons."
../data/Tamil Nadu.txt,"Tiffin is the second meal of the day and features several breakfast favorites such as idli, rava idli, upma, dosa varieties, vada and is usually accompanied by chai."
../data/Tamil Nadu.txt,"Dinner is the simplest meal of the day, typically involving leftovers from either lunch or tiffin."
../data/Tamil Nadu.txt,"Fresh seasonal fruit consumed in the state include bananas, papaya, honeydew and canteloupe melons, jackfruit, mangos, apples, kasturi oranges, pomegranates, and nongu (hearts of palm)."
../data/andhra pradesh.txt,The cuisine of Andhra Pradesh belongs to the two Telugu-speaking regions of Rayalaseema and Coastal Andhra and is part of Telugu cuisine.
../data/andhra pradesh.txt,"The food of Andhra Pradesh is known for its heavy use of spices, and the use of tamarind."
../data/andhra pradesh.txt,Seafood is common in the coastal region of the state.
../data/andhra pradesh.txt,Rice is the staple food (as is with all South Indian states) eaten with lentil preparations such as pappu (lentils) and pulusu (stew) and spicy vegetables or curries.
../data/andhra pradesh.txt,"In Andhra, leafy greens or vegetables such as bottle-gourd and eggplant are usually added to dal."
../data/andhra pradesh.txt,"Pickles are an essential part of the local cuisine; popular among those are mango-based pickles such as avakaya and maagaya, gongura (a pickle made from Kenaf leaves), usirikaya (gooseberry or amla), nimmakaya (lime), and tomato pickle."
../data/andhra pradesh.txt,"Dahi (yogurt) is a common addition to meals, as a way of tempering spiciness."
../data/andhra pradesh.txt,"Breakfast items include dosa, pesarattu (mung bean dosa), vada, and idli."
../data/Malwani.txt,Malwani cuisine is a specialty of the tropical area which spans from the shore of Deogad Malwan to the southern Maharashtrian border with Goa.
../data/Malwani.txt,The unique taste and flavor of Malwani cuisine comes from Malwani masala and use of coconut and kokam.
../data/Malwani.txt,The staple foods are rice and fish.
../data/Malwani.txt,"Various kinds of red and green fish, prawns, crab, and shellfish curries (also called mashacha sar in the Malwani language) are well known, along with kombadi (chicken) wade and mutton prepared Malwani style."
../data/Malwani.txt,Mohari mutton is also one of the distinct delicacies of Malwani cuisine.
../data/Malwani.txt,"A large variety of fish is available in the region, which include surmai, karali, bangada, bombil(Bombay duck), paplet (pompret), halwa, tarali, suandale, kolambi (prawns), tisari (shell fish), kalwa (stone fish) and kurli (crab)."
../data/Malwani.txt,"All these fish are available in dried form, including prawns, which are known as sode."
../data/Malwani.txt,Local curries and chatanis are also prepared with dried fish.
../data/Malwani.txt,"Different types of rice breads and pancakes add to the variety of Malwani cuisine and include tandlachi bhakari, ghawane, amboli, patole, appe, tandalachi and shavai (rice noodles)."
../data/Malwani.txt,"These rice breads can be eaten specially flavored with coconut milk, fish curries, and chicken or mutton curries."
../data/Malwani.txt,Sole kadi made from kokam and coconut milk is a signature appetizer drink .
../data/Malwani.txt,"For vegetarians, Malwani delicacies include alloochi bhaji, alloochi gathaya, kalaya watanyacha, and sambara(black gram stew)."
../data/Malwani.txt,"The sweets and desserts include ukadiche modak, Malawani khaje, khadakahde kundiche ladu, shegdanyache ladu, tandalchi kheer, and tandalachi shavai ani ras (specially flavored with coconut milk)."
../data/Nagaland.txt,The cuisine of Nagaland reflects that of the Naga people.
../data/Nagaland.txt,"It is known for exotic pork meats cooked with simple and flavourful ingredients, like the extremely hot Bhut jolokia pepper, fermented bamboo shoots and akhuni or fermented soya beans."
../data/Nagaland.txt,"Another unique and strong ingredient used by the Naga people, is the fermented fish known as ngari."
../data/Nagaland.txt,Fresh herbs and other local greens also feature prominently in the Naga cuisine.
../data/Nagaland.txt,"The Naga use oil sparingly, preferring to ferment, dry, and smoke their meats and fish."
../data/Nagaland.txt,Traditional homes in Nagaland have external kitchens that serve as smokehouses.
../data/Nagaland.txt,"A typical meal consists of rice, meat, a chutney, a couple of stewed or steamed vegetable dishes – flavored with ngari or akhuni."
../data/Nagaland.txt,Desserts usually consist of fresh fruits.
../data/Chandigarh.txt,"Chandigarh, the capital of Punjab and Haryana is a city of 20th century origin with a cosmopolitan food culture mainly involving North Indian cuisine."
../data/Chandigarh.txt,"People enjoy home-made recipes such as parantha, especially at breakfast, and other Punjabi foods like roti which is made from wheat, corn, or other glutenous flour with cooked vegetables or beans."
../data/Chandigarh.txt,Sarson da saag and dal makhani are well-known dishes among others.
../data/Chandigarh.txt,Popular snacks include gol gappa (known as panipuri in other places).
../data/Chandigarh.txt,"It consists of a round, hollow puri, fried crisp and filled with a mixture of flavoured water, boiled and cubed potatoes, bengal gram beans, etc."
../data/Daman and Diu.txt,"Daman and Diu is a union territory of India which, like Goa, was a former colonial possession of Portugal."
../data/Daman and Diu.txt,"Consequently, both native Gujarati food and traditional Portuguese food are common."
../data/Daman and Diu.txt,"Being a coastal region, the communities are mainly dependent on seafood."
../data/Daman and Diu.txt,"Normally, rotli and tea are taken for breakfast, rotla and saak for lunch, and chokha along with saak and curry are taken for dinner."
../data/Daman and Diu.txt,"Some of the dishes prepared on festive occasions include puri, lapsee, potaya, dudh-plag, and dhakanu."
../data/Daman and Diu.txt,"[64] While alcohol is prohibited in the neighbouring state of Gujarat, drinking is common in Daman and Diu."
../data/Daman and Diu.txt,Better known as the “pub” of Gujarat.
../data/Daman and Diu.txt,All popular brands of alcohol are readily available.
../data/Mizoram.txt,"The cuisine of Mizoram differs from that of most of India, though it shares characteristics to other regions of Northeast India and North India."
../data/Mizoram.txt,"Rice is the staple food of Mizoram, while Mizos love to add non-vegetarian ingredients in every dish."
../data/Mizoram.txt,"Fish, chicken, pork and beef are popular meats among Mizos."
../data/Mizoram.txt,Dishes are served on fresh banana leaves.
../data/Mizoram.txt,Most of the dishes are cooked in mustard oil.
../data/Mizoram.txt,Meals tend to be less spicy than in most of India.
../data/Mizoram.txt,Mizos love eating boiled vegetables along with rice.
../data/Mizoram.txt,"A popular dish is bai, made from boiling vegetables (spinach, eggplant, beans, and other leafy vegetables) with bekang fermented soya beans or Sa-um, a fermented pork and served with rice."
../data/Mizoram.txt,"Sawhchiar is another common dish, made of rice and cooked with pork or chicken."
../data/Punjab.txt,The cuisine of Punjab is known for its diverse range of dishes.The cuisine is closely related to the cuisine of the neighbouring Punjab province of Pakistan.
../data/Punjab.txt,"The state, being an agriculture center, is abundant with whole grains, vegetables, and fruits."
../data/Punjab.txt,Home-cooked and restaurant Punjabi cuisine can vary significantly.
../data/Punjab.txt,"Restaurant-style Punjabi cooking puts emphasis on creamy textured foods by using ghee, butter and cream while, home-cooked meals center around whole wheat, rice, and other ingredients flavored with various kinds of masalas."
../data/Punjab.txt,"Common dishes cooked at home are roti with daal and dahi (yogurt) with a side chutney and salad that includes raw onion, tomato, cucumber, etc."
../data/Punjab.txt,"The meals are also abundant of local and seasonal vegetables usually sautéed with spices such as cumin, dried coriander, red chili powder, turmeric, black cloves, etc."
../data/Punjab.txt,Masala Chai is a favorite drink and is consumed in everyday life and at special occasions.
../data/Punjab.txt,"Many regional differences exist in the Punjabi cuisine based on traditional variations in cooking similar dishes, food combinations, preference of spice combination, etc."
../data/Punjab.txt,"Is it apparent that ""the food is simple, robust, and closely linked to the land."""
../data/Punjab.txt,"Certain dishes exclusive to Punjab, such as makki di roti and sarson da saag, dal makhani, etc."
../data/Punjab.txt,are a favorite of many.
../data/Punjab.txt,"The masala in a Punjabi dish traditionally consists of onion, garlic, ginger, cumin, garam masala, salt, turmeric, tomatoes sauteed in mustard oil."
../data/Punjab.txt,Tandoori food is a Punjabi specialty.
../data/Punjab.txt,"Common meat dishes in this region are Bhakra curry (Goat) and fish dishes Dairy products are commonly consumed and usually accompany main meals in the form of dahi, milk, and milk derived products such as lassi, paneer, etc."
../data/Punjab.txt,"Punjab consists of a high number of people following the Sikh religion who traditionally follow a vegetarian diet (which includes plant derived foods, milk, and milk by-products."
../data/Punjab.txt,See diet in Sikhism) in accordance to their beliefs.
../data/Punjab.txt,"No description of Punjabi cuisine is complete without the myriad of famous desserts, such as kheer, gajar ka halwa, sooji (cream of wheat) halwa, rasmalai, gulab jamun and jalebi."
../data/Punjab.txt,"Most desserts are ghee or dairy-based, use nuts such as almonds, walnuts, pistachios, cashews, and, raisins."
../data/Punjab.txt,"Many of the most popular elements of Anglo-Indian cuisine, such as tandoori foods, naan, pakoras and vegetable dishes with paneer, are derived from Punjabi styles."
../data/Punjab.txt,"Punjabi food is well liked in the world for its flavors, spices, and, versatile use of produce; and hence it is one of the most popular cuisine's from the sub continent."
../data/Punjab.txt,And last but not least is the Chhole Bhature and Chhole Kulche which are famous all over the north India.
../data/Indian Chinese.txt,"Indian Chinese cuisine, also known as Indo-Chinese cuisine originated in the 19th century among the Chinese community of Calcutta, during the immigration of Hakka Chinese from Canton (present-day Guangzhou) seeking to escape the First and Second Opium Wars and political instability in the region."
../data/Indian Chinese.txt,"[147] Upon exposure to local Indian cuisine, they incorporated many spices and cooking techniques into their own cuisine, thus creating a unique fusion of Indian and Chinese cuisine."
../data/Indian Chinese.txt,"[147] After 1947, many Cantonese immigrants fleeing political repression under Mao Zedong, opened their own restaurants in Calcutta, whose dishes combined aspects of Indian cuisine with Cantonese cuisine."
../data/Indian Chinese.txt,"[148] While Indian Chinese cuisine is heavily derived from traditional Chinese cuisine, it bears little resemblance to its Chinese counterpart."
../data/Indian Chinese.txt,"[148] The dishes tend to be flavoured with cumin, coriander seeds, and turmeric, which with a few regional exceptions, are not traditionally associated with Chinese cuisine."
../data/Indian Chinese.txt,"[149] Chilli, ginger, garlic and dahi (yogurt) are also frequently used in dishes."
../data/Indian Chinese.txt,"[149]

Popular dishes include Chicken Manchurian, Chicken lollipop, Chilli chicken, Hakka noodles, Hunan chicken, Chow mein, and Szechwan fried rice."
../data/Indian Chinese.txt,"Soups such as Manchow soup and Sweet corn soup are very popular, whereas desserts include ice cream on honey-fried noodles and date pancakes."
../data/Indian Chinese.txt,Chow mein is now known as one of the most favorite Chinese dishes in India.
../data/Indian Chinese.txt,"Especially in West Bengal, it is one of the most loved street foods."
../data/Himachal Pradesh.txt,"The daily diet of Himachal people is similar to that of the rest of North India, including lentils, broth, rice, vegetables, and bread, although nonvegetarian cuisine is preferred."
../data/Himachal Pradesh.txt,"Some of the specialities of Himachal include sidu, patande, chukh, rajmah, and til chutney."
../data/jharkhand.txt,"Staple food in Jharkhand are rice, dal and vegetable."
../data/jharkhand.txt,"Famous dishes include Chirka roti, Pittha, Malpua, Dhuska, Arsa roti and Litti Chokha."
../data/jharkhand.txt,"Local alcoholic drinks include Handia a rice beer and Mahua daru, made from flowers of the ""Mahua"" tree (Madhuca longifolia)."
../data/Meghalaya.txt,Meghalayan cuisine is unique and different from other Northeastern Indian states.
../data/Meghalaya.txt,"Spiced meat is common, from goats, pigs, fowl, ducks, chickens, and cows."
../data/Meghalaya.txt,"In the Khasi and Jaintia Hills districts, common foods include jadoh, ki kpu, tung-rymbai, and pickled bamboo shoots."
../data/Meghalaya.txt,"Other common foods in Meghalaya include minil songa (steamed sticky rice), sakkin gata, and momo dumplings."
../data/Meghalaya.txt,"Like other tribes in the northeast, the Garos ferment rice beer, which they consume in religious rites and secular celebrations."
../data/bihar.txt,"Bihari cuisine may include litti chokha, a baked salted wheat-flour cake filled with sattu (baked chickpea flour) and some special spices, which is served with baigan bharta, made of roasted eggplant (brinjal) and tomatoes."
../data/bihar.txt,"Among meat dishes, meat saalan is a popular dish made of mutton or goat curry with cubed potatoes in garam masala."
../data/bihar.txt,Dalpuri is another popular dish in Bihar.
../data/bihar.txt,"It is salted wheat-flour bread, filled with boiled, crushed, and fried gram pulses."
../data/bihar.txt,"Malpua is a popular sweet dish of Bihar, prepared by a mixture of maida, milk, bananas, cashew nuts, peanuts, raisins, sugar, water, and green cardamom."
../data/bihar.txt,"Another notable sweet dish of Bihar is balushahi, which is prepared by a specially treated combination of maida and sugar along with ghee, and the other worldwide famous sweet, khaja, also very popular, is made from flour, vegetable fat, and sugar, which is mainly used in weddings and other occasions."
../data/bihar.txt,Silav near Nalanda is famous for its production.
../data/bihar.txt,"During the festival of Chhath, thekua, a sweet dish made of ghee, jaggery, and whole-meal flour, flavoured with aniseed, is made."
../data/goa.txt,"The area has a tropical climate, which means the spices and flavours are intense."
../data/goa.txt,Use of kokum is a distinct feature of the region's cuisine.
../data/goa.txt,Goan cuisine is mostly seafood and meat-based.
../data/goa.txt,the staple foods are rice and fish.
../data/goa.txt,"Kingfish (vison or visvan) is the most common delicacy, and others include pomfret, shark, tuna, and mackerel; these are often served with coconut milk."
../data/goa.txt,"Shellfish, including crabs, prawns, tiger prawns, lobster, squid, and mussels, are commonly eaten."
../data/goa.txt,"The cuisine of Goa is influenced by its Hindu origins, 400 years of Portuguese colonialism, and modern techniques."
../data/goa.txt,"Bread, introduced by the Portuguese, is very popular, and is an important part of goan breakfast."
../data/goa.txt,Frequent tourism in the area gives Goan food an international aspect.
../data/goa.txt,Vegetarianism is equally popular.
../data/Telangana.txt,"The cuisine of Telangana consists of the Telugu cuisine, of Telangana's Telugu people as well as Hyderabadi cuisine (also known as Nizami cuisine), of Telangana's Hyderabadi Muslim community."
../data/Telangana.txt,"Hyderabadi food is based heavily on non-vegetarian ingredients, while Telugu food is a mix of both vegetarian and non-vegetarian ingredients."
../data/Telangana.txt,Telugu food is rich in spices and chillies are abundantly used.
../data/Telangana.txt,The food also generally tends to be more on the tangy side with tamarind and lime juice both used liberally as souring agents.
../data/Telangana.txt,Rice is the staple food of Telugu people.
../data/Telangana.txt,Starch is consumed with a variety of curries and lentil soups or broths.
../data/Telangana.txt,Vegetarian and non-vegetarian foods are both popular.
../data/Telangana.txt,"Hyderabadi cuisine includes popular delicacies such as Biryani, Haleem, Baghara baingan and Kheema, while Hyderabadi day to day dishes see some commonalities with Telanganite Telugu food, with its use of tamarind, rice, and lentils, along with meat."
../data/Telangana.txt,"Dahi (yogurt) is a common addition to meals, as a way of tempering spiciness."
../data/Odisha.txt,The cuisine of Odisha relies heavily on local ingredients.
../data/Odisha.txt,Flavours are usually subtle and delicately spiced.
../data/Odisha.txt,"Fish and other seafood, such as crab and shrimp, are very popular, and chicken and mutton are also consumed."
../data/Odisha.txt,"Panch phutana, a mix of cumin, mustard, fennel, fenugreek and kalonji (nigella), is widely used for flavouring vegetables and dals, while garam masala and turmeric are commonly used for meat-based curries."
